Contrato;Modalidade;Status;Placa;Reserva;Grupo Reserva;Grupo Retirada;Canal Venda;Retirada;Loja RET;Devolução;Loja DEV;Diárias;Total do Período;Upgrade/Upsell;Região Retirada;Região Devolução
20011000;Eventual;Aberto;EAF4C91;MV1K5Y5C09BR;FY;HX;Portal Empresa;09/02/2023 14:24;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;08/03/2023 17:24;JUIZ DE FORA CENTRO;27.0;3.457,88;Upgrade;RAC_RJ_CAPITAL;RAC_ES_RJ_INTERIOR
20012910;Eventual;Aberto;RTW2E49;MV4H58OXL86BR;F;HX;Portal Empresa;09/02/2023 18:21;"Filial ID
IPTA    IPATINGA AEROPORTO
IPTA    IPATINGA AEROPORTO
IPTA    IPATINGA AEROPORTO
Name: Loja, dtype: object";06/03/2023 18:21;"Filial ID
IPTA    IPATINGA AEROPORTO
IPTA    IPATINGA AEROPORTO
IPTA    IPATINGA AEROPORTO
Name: Loja, dtype: object";25.0;3.214,12;Upgrade;"Filial ID
IPTA    RAC_MG
IPTA       NaN
IPTA    RAC_MG
Name: Região, dtype: object";"Filial ID
IPTA    RAC_MG
IPTA       NaN
IPTA    RAC_MG
Name: Região, dtype: object"
20111006;Eventual;Aberto;ENN5C93;MV1KFHHX2OBR;B;D;Portal Empresa;22/02/2023 12:10;SÃO PAULO - BARRA FUNDA;20/03/2023 12:10;SÃO PAULO - BARRA FUNDA;26.0;3.068,08;UpSell;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20120105;Eventual;Aberto;GHG5C71;MV1NSJ4OW6BR;FX;FX;Mobile;23/02/2023 13:00;SOROCABA CAMPOLIM;22/03/2023 12:00;SOROCABA CAMPOLIM;27.0;7.611,53;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20136026;Eventual;Aberto;RTO6B24;MV1UFT3CNABR;BS;H;Mobile;25/02/2023 12:10;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;16/03/2023 15:00;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;19.0;2.158,62;Upgrade;RAC_MG;RAC_MG
20144591;Eventual;Aberto;RUR3J70;MV1RE7BKNBBR;AX;L;Loja - Walk in;27/02/2023 08:12;CONTAGEM;25/03/2023 08:12;CONTAGEM;26.0;5.105,34;Upgrade;RAC_MG;RAC_MG
20145279;Eventual;Aberto;GEW1A93;MV1OGDT16IBR;D;XE;Parcerias;27/02/2023 09:00;SANTOS AFFONSO PENNA;26/03/2023 09:00;SANTOS AFFONSO PENNA;27.0;5.552,38;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20147688;Eventual;Aberto;EKS2G83;MV1MT9COQ4BR;SY;SX;Portal Agência;27/02/2023 10:20;MANAUS AEROPORTO;24/03/2023 10:20;MANAUS AEROPORTO;25.0;6.051,36;Upgrade;RAC_NORTE;RAC_NORTE
20149121;Eventual;Aberto;RTT8B91;MV1KQWCYGKBR;BS;FX;Portal Agência;27/02/2023 13:20;RECIFE AEROPORTO;26/03/2023 10:00;RECIFE AEROPORTO;27.0;2.816,25;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20153458;Eventual;Aberto;RTX4C91;MV2250ON44BR;H;HX;Parcerias;28/02/2023 11:43;JUIZ DE FORA CENTRO;27/03/2023 11:43;JUIZ DE FORA CENTRO;27.0;6.206,46;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20153599;Eventual;Aberto;RKB7B42;MV1UFT0RMOBR;H;HX;WebServices (XML);28/02/2023 11:50;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;27/03/2023 12:00;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;27.0;3.116,23;Upgrade;RAC_MG;RAC_MG
20155205;Eventual;Aberto;RJD7D77;MV1NH4BWU0BR;B;HX;Mobile;28/02/2023 10:00;PARAUAPEBAS CENTRO;27/03/2023 13:00;PARAUAPEBAS CENTRO;27.0;6.402,48;UpSell;RAC_NORTE;RAC_NORTE
20155813;Eventual;Aberto;GDB6C46;MV1SSOX2MRBR;G;H;WebServices (XML);28/02/2023 10:42;"Filial ID
JDO    JUAZEIRO DO NORTE AEROPORTO
JDO    JUAZEIRO DO NORTE AEROPORTO
JDO    JUAZEIRO DO NORTE AEROPORTO
Name: Loja, dtype: object";24/03/2023 18:00;"Filial ID
JDO    JUAZEIRO DO NORTE AEROPORTO
JDO    JUAZEIRO DO NORTE AEROPORTO
JDO    JUAZEIRO DO NORTE AEROPORTO
Name: Loja, dtype: object";25.0;4.920,72;Upgrade;"Filial ID
JDO    RAC_NORDESTE
JDO             NaN
JDO    RAC_NORDESTE
Name: Região, dtype: object";"Filial ID
JDO    RAC_NORDESTE
JDO             NaN
JDO    RAC_NORDESTE
Name: Região, dtype: object"
20156853;Eventual;Aberto;GHR8F53;MV2MBDPB6RBR;AX;HX;Parcerias;28/02/2023 12:20;SÃO PAULO - NAÇÕES UNIDAS;27/03/2023 15:20;SÃO PAULO - NAÇÕES UNIDAS;27.0;5.638,11;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20156902;Eventual;Aberto;GJX4B17;MV4H1FFDLIJBR;G;HX;Loja - Walk in;26/02/2023 12:01;RIO DE JANEIRO - CAMPO GRANDE;25/03/2023 15:01;RIO DE JANEIRO - CAMPO GRANDE;27.0;5.159,85;UpSell;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20157007;Eventual;Aberto;RIU7C23;MV2499JXSPBR;H;HX;WebServices (XML);01/03/2023 10:54;"Filial ID
POA    PORTO ALEGRE AEROPORTO
POA    PORTO ALEGRE AEROPORTO
Name: Loja, dtype: object";27/03/2023 10:00;"Filial ID
POA    PORTO ALEGRE AEROPORTO
POA    PORTO ALEGRE AEROPORTO
Name: Loja, dtype: object";26.0;4.018,56;UpSell;"Filial ID
POA    RAC_SUL_RS_SC
POA    RAC_SUL_RS_SC
Name: Região, dtype: object";"Filial ID
POA    RAC_SUL_RS_SC
POA    RAC_SUL_RS_SC
Name: Região, dtype: object"
20157294;Eventual;Aberto;RUC3J49;MV2YNKPYI1BR;H;QX;Parcerias;28/02/2023 13:30;SÃO PAULO - SHOPPING TUCURUVI;27/03/2023 13:30;SÃO PAULO - AVENIDA ARICANDUVA;27.0;2.978,34;Upgrade;RAC_SP_CAPITAL;RAC_SP_ZL_ABC_VP
20159824;Eventual;Aberto;EKJ0D95;MV23A03A0NBR;AX;HW;Loja - Walk in;27/02/2023 18:43;UBERLÂNDIA AEROPORTO;26/03/2023 18:00;UBERLÂNDIA AEROPORTO;27.0;4.392,06;UpSell;RAC_MG;RAC_MG
20160707;Eventual;Aberto;RTM3I72;MV1JLWYJBMBR;BX;D;Call Center;28/02/2023 22:59;SÃO PAULO - CONGONHAS AEROPORTO;27/03/2023 22:59;SÃO PAULO - CONGONHAS AEROPORTO;27.0;3.816,59;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20160794;Eventual;Aberto;RTT8A52;MV24KOG8SQBR;BX;FX;Loja - Walk in;28/02/2023 23:59;VITÓRIA AEROPORTO;27/03/2023 23:30;VITÓRIA AEROPORTO;27.0;3.000,11;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20166412;Eventual;Aberto;RTI2D23;MV1PR34XGEBR;L;LX;Mobile;01/03/2023 17:10;BETIM;26/03/2023 12:00;BETIM;25.0;5.308,52;Upgrade;RAC_MG;RAC_MG
20166992;Eventual;Aberto;GGC9E25;MV1TCQCHP5BR;FX;HX;Portal Agência;01/03/2023 18:12;FORTALEZA CENTRO;05/03/2023 17:00;FORTALEZA AEROPORTO;4.0;1.076,64;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20172141;Eventual;Aberto;RTL4F96;MV1LGNP9MMBR;B;D;Portal Empresa;02/03/2023 14:00;GOIÂNIA AEROPORTO;24/03/2023 14:00;GOIÂNIA AEROPORTO;22.0;2.747,80;Upgrade;RAC_CO;RAC_CO
20172838;Eventual;Aberto;GFO6F73;MV1NH4CROABR;HX;HW;Parcerias;02/03/2023 15:30;PARAUAPEBAS CENTRO;27/03/2023 18:00;PARAUAPEBAS CENTRO;25.0;3.940,05;Upgrade;RAC_NORTE;RAC_NORTE
20181712;Eventual;Aberto;RVF4G05;MV1NH4D6SIBR;BS;L;Loja - Walk in;03/03/2023 16:14;PARAUAPEBAS CENTRO;27/03/2023 18:00;PARAUAPEBAS CENTRO;24.0;4.584,61;UpSell;RAC_NORTE;RAC_NORTE
20184638;Eventual;Aberto;RNF2A86;MV1QB4L1JGBR;FY;HW;Mobile;03/03/2023 20:01;BOA VISTA AEROPORTO;15/03/2023 23:00;BOA VISTA AEROPORTO;12.0;2.112,41;Upgrade;RAC_NORTE;RAC_NORTE
20190401;Eventual;Aberto;RKK6I51;MV1OGDUDWABR;G;HX;Mobile;04/03/2023 13:15;SANTOS AFFONSO PENNA;27/03/2023 13:15;SANTOS AFFONSO PENNA;23.0;5.715,70;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20190852;Eventual;Aberto;GFH2I17;MV1K09H7N0BR;B;FX;Call Center;04/03/2023 14:10;FORTALEZA AEROPORTO;19/03/2023 10:30;FORTALEZA AEROPORTO;15.0;2.085,00;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20191121;Eventual;Aberto;RNX6G50;MV1MNJRYSTBR;HX;HY;WebServices (XML);04/03/2023 14:35;TERESINA AEROPORTO;27/03/2023 17:35;TERESINA AEROPORTO;23.0;4.285,55;Upgrade;RAC_NORTE;RAC_NORTE
20193470;Eventual;Aberto;RUQ7F07;MV1JNTJN9VBR;FX;H;Link Colaborador;05/03/2023 07:19;SÃO PAULO - GUARULHOS AEROPORTO;26/03/2023 11:00;SÃO PAULO - GUARULHOS AEROPORTO;21.0;4.692,29;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20196551;Eventual;Aberto;RUZ4A30;MV1MFX8R05BR;F;SX;Mobile;05/03/2023 18:20;BELÉM AEROPORTO;27/03/2023 18:20;BELÉM AEROPORTO;22.0;9.984,70;Upgrade;RAC_NORTE;RAC_NORTE
20197148;Eventual;Aberto;RTT8C73;MV1SQSCQCEBR;BX;FX;Mobile;05/03/2023 20:30;SÃO PAULO - RODOVIÁRIA TIETÊ;23/03/2023 20:00;SÃO PAULO - CONSOLAÇÃO;18.0;2.918,76;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20199618;Eventual;Aberto;ESR9H15;MV2D2P5LTLBR;B;HX;Portal Agência;06/03/2023 09:15;BARUERI ALPHAVILLE - TAMBORE;25/03/2023 17:00;BARUERI ALPHAVILLE - TAMBORE;20.0;1.759,97;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20200065;Eventual;Aberto;GJW6I72;MV1MT9OUWDBR;FX;H;Portal Empresa;06/03/2023 08:50;MANAUS AEROPORTO;27/03/2023 15:00;MANAUS AEROPORTO;21.0;2.896,22;Upgrade;RAC_NORTE;RAC_NORTE
