Filial ID;Loja;Região
AJU;ARACAJU AEROPORTO;RAC_BA_SE_AL
AAR;ARACAJU COROA DO MEIO;RAC_BA_SE_AL
BSR;BARREIRAS;RAC_BA_SE_AL
MOVFS;FEIRA DE SANTANA;RAC_BA_SE_AL
IOS;ILHÉUS AEROPORTO;RAC_BA_SE_AL
MCZ;MACEIÓ AEROPORTO;RAC_BA_SE_AL
MAA;MACEIÓ FAROL;RAC_BA_SE_AL
BPS;PORTO SEGURO AEROPORTO;RAC_BA_SE_AL
SPAPP;SALVADOR - PARALELA;RAC_BA_SE_AL
SSA;SALVADOR AEROPORTO;RAC_BA_SE_AL
SVD;SALVADOR AMARALINA - PITUBA;RAC_BA_SE_AL
VDC;VITÓRIA DA CONQUISTA AEROPORTO;RAC_BA_SE_AL
MOVANP;ANÁPOLIS;RAC_CO
MOVAG;APARECIDA DE GOIÂNIA;RAC_CO
BSB;BRASILIA AEROPORTO;RAC_CO
BSBC02;BRASILIA SIA;RAC_CO
CGR;CAMPO GRANDE AEROPORTO;RAC_CO
CGC;CAMPO GRANDE CENTRO;RAC_CO
CGB;CUIABA AEROPORTO;RAC_CO
CGBC;CUIABA CENTRO;RAC_CO
GYN;GOIÂNIA AEROPORTO;RAC_CO
MOVHCG;GOIÂNIA REPUBLICA DO LÍBANO;RAC_CO
GOIAT;GOIÂNIA T63;RAC_CO
PMW;PALMAS AEROPORTO;RAC_CO
PLM;PALMAS CENTRO;RAC_CO
PVH;PORTO VELHO AEROPORTO;RAC_CO
PVC;PORTO VELHO CENTRO;RAC_CO
RBR;RIO BRANCO AEROPORTO;RAC_CO
RVD;RIO VERDE;RAC_CO
SNP;SINOP;RAC_CO
CPG;CAMPOS DOS GOYTACAZES;RAC_ES_RJ_INTERIOR
DCX;DUQUE DE CAXIAS;RAC_ES_RJ_INTERIOR
JDFC;JUIZ DE FORA CENTRO;RAC_ES_RJ_INTERIOR
MCE;MACAÉ;RAC_ES_RJ_INTERIOR
RNI;NOVA IGUAÇU;RAC_ES_RJ_INTERIOR
PET;PETRÓPOLIS;RAC_ES_RJ_INTERIOR
RES;RESENDE;RAC_ES_RJ_INTERIOR
GIG;RIO DE JANEIRO - GALEÃO AEROPORTO;RAC_ES_RJ_INTERIOR
SRA;SERRA;RAC_ES_RJ_INTERIOR
VIX;VITÓRIA AEROPORTO;RAC_ES_RJ_INTERIOR
VIXC01;VITORIA SANTA LUCIA;RAC_ES_RJ_INTERIOR
VRS;VOLTA REDONDA - SHOPPING PARK SUL;RAC_ES_RJ_INTERIOR
BHVE;BELO HORIZONTE - PRADO - TERESA CRISTINA;RAC_MG
CNF;BELO HORIZONTE AEROPORTO CONFINS;RAC_MG
BHC;BELO HORIZONTE BARÃO HOMEM DE MELO;RAC_MG
LLR;BELO HORIZONTE LOURDES BIAS FORTES;RAC_MG
PLU;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;RAC_MG
BHCL;BELO HORIZONTE PAMPULHA CATALÃO;RAC_MG
MOVBET;BETIM;RAC_MG
CTG;CONTAGEM;RAC_MG
FRA;FRANCA;RAC_MG
SVA;IPATINGA - SHOPPING VALE DO AÇO;RAC_MG
IPTA;IPATINGA AEROPORTO;RAC_MG
MOC;MONTES CLAROS AEROPORTO;RAC_MG
PAL;POUSO ALEGRE;RAC_MG
RAO;RIBEIRÃO PRETO AEROPORTO;RAC_MG
RPT;RIBEIRÃO PRETO CASTELO BRANCO;RAC_MG
UBA;UBERABA AEROPORTO;RAC_MG
UDI;UBERLÂNDIA AEROPORTO;RAC_MG
CPV;CAMPINA GRANDE AEROPORTO;RAC_NORDESTE
FOR;FORTALEZA AEROPORTO;RAC_NORDESTE
FORC;FORTALEZA CENTRO;RAC_NORDESTE
JPA;JOÃO PESSOA AEROPORTO;RAC_NORDESTE
JPAC;JOÃO PESSOA EPITÁCIO;RAC_NORDESTE
JDO;JUAZEIRO DO NORTE AEROPORTO;RAC_NORDESTE
MSR;MOSSORÓ;RAC_NORDESTE
NAT;NATAL AEROPORTO;RAC_NORDESTE
NTC;NATAL PONTA NEGRA;RAC_NORDESTE
PSH;PATTEO OLINDA SHOPPING;RAC_NORDESTE
PNZ;PETROLINA AEROPORTO;RAC_NORDESTE
REC;RECIFE AEROPORTO;RAC_NORDESTE
RECC;RECIFE CAXANGÁ;RAC_NORDESTE
REES;RECIFE ESPINHEIRO;RAC_NORDESTE
BEL;BELÉM AEROPORTO;RAC_NORTE
MOVBLC;BELÉM CENTRO;RAC_NORTE
BVB;BOA VISTA AEROPORTO;RAC_NORTE
IMP;IMPERATRIZ AEROPORTO;RAC_NORTE
MCP;MACAPA AEROPORTO;RAC_NORTE
MAO;MANAUS AEROPORTO;RAC_NORTE
MAN;MANAUS CENTRO;RAC_NORTE
MAB;MARABÁ AEROPORTO EXTERNO;RAC_NORTE
CRJ;PARAUAPEBAS AEROPORTO;RAC_NORTE
CKSC;PARAUAPEBAS CENTRO;RAC_NORTE
SLZ;SÃO LUÍS AEROPORTO;RAC_NORTE
THE;TERESINA AEROPORTO;RAC_NORTE
NTR;NITERÓI;RAC_RJ_CAPITAL
RBS;RIO DE JANEIRO - BANGU SHOPPING;RAC_RJ_CAPITAL
LBT;RIO DE JANEIRO - BARRA DA TIJUCA;RAC_RJ_CAPITAL
RIOAYR;RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA;RAC_RJ_CAPITAL
RIOBTA;RIO DE JANEIRO - BARRA DA TIJUCA EXTRA;RAC_RJ_CAPITAL
RCM;RIO DE JANEIRO - CAMPO GRANDE;RAC_RJ_CAPITAL
LCP;RIO DE JANEIRO - COPACABANA RIO SUL SH;RAC_RJ_CAPITAL
JPG;RIO DE JANEIRO - JACAREPAGUÁ;RAC_RJ_CAPITAL
RJL;RIO DE JANEIRO - LEBLON;RAC_RJ_CAPITAL
MDR;RIO DE JANEIRO - MADUREIRA;RAC_RJ_CAPITAL
NRSH;RIO DE JANEIRO - NORTE SHOPPING;RAC_RJ_CAPITAL
MOVSHH;RIO DE JANEIRO - SHOPPING BOULEVARD;RAC_RJ_CAPITAL
SDU;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;RAC_RJ_CAPITAL
OSC;OSASCO;RAC_SP_CAPITAL
LBF;SÃO PAULO - BARRA FUNDA;RAC_SP_CAPITAL
CGH;SÃO PAULO - CONGONHAS AEROPORTO;RAC_SP_CAPITAL
LCN;SÃO PAULO - CONSOLAÇÃO;RAC_SP_CAPITAL
CZS;SÃO PAULO - CRUZEIRO DO SUL;RAC_SP_CAPITAL
SIBB;SÃO PAULO - ITAIM BIBI BRASCAN;RAC_SP_CAPITAL
JKK;SÃO PAULO - JUSCELINO KUBITSCHEK;RAC_SP_CAPITAL
MOM;SÃO PAULO - MOEMA;RAC_SP_CAPITAL
SPNU;SÃO PAULO - NAÇÕES UNIDAS;RAC_SP_CAPITAL
RDT;SÃO PAULO - RODOVIÁRIA TIETÊ;RAC_SP_CAPITAL
SAU;SÃO PAULO - SAÚDE;RAC_SP_CAPITAL
BUT;SÃO PAULO - SHOPPING BUTANTÃ;RAC_SP_CAPITAL
CNP;SÃO PAULO - SHOPPING CAMPO LIMPO;RAC_SP_CAPITAL
SCN;SÃO PAULO - SHOPPING CENTER NORTE;RAC_SP_CAPITAL
SAODED;SÃO PAULO - SHOPPING DeD - BROOKLIN;RAC_SP_CAPITAL
SSE;SÃO PAULO - SHOPPING ELDORADO;RAC_SP_CAPITAL
SFC;SÃO PAULO - SHOPPING FREI CANECA;RAC_SP_CAPITAL
SSPP;SÃO PAULO - SHOPPING PATIO PAULISTA;RAC_SP_CAPITAL
MOVSSC;SÃO PAULO - SHOPPING SANTA CRUZ;RAC_SP_CAPITAL
SHT;SÃO PAULO - SHOPPING TUCURUVI;RAC_SP_CAPITAL
GASVI;SÃO PAULO - VILA LEOPOLDINA;RAC_SP_CAPITAL
